"","COUNTYA","STATEA","Entropy","Entropy_std","H","D_wb","D_wa","D_wl","D_bl","D_ba","D_la"
"1",1,1,0.7211,0.4024,0.0779,0.2911,0.4154,0.2056,0.2834,0.5006,0.3602
"2",1,4,0.8213,0.4584,0.4887,0.4545,0.6109,0.2709,0.2255,0.4519,0.5095
"3",1,5,0.7756,0.4329,0.1176,0.3862,0.3535,0.2799,0.334,0.3482,0.3476
"4",1,6,1.4633,0.8167,0.1662,0.5605,0.4175,0.4829,0.4047,0.55,0.4323
"5",1,8,1.0252,0.5722,0.1037,0.4881,0.2644,0.3564,0.4241,0.4883,0.4076
"6",1,9,1.0355,0.5779,0.2242,0.6753,0.314,0.5915,0.2222,0.5597,0.4571
"7",1,10,0.9988,0.5575,0.0617,0.2822,0.2897,0.2272,0.1829,0.214,0.2667
"8",1,11,1.1506,0.6421,0.3248,0.7274,0.2013,0.4907,0.5677,0.7035,0.4566
"9",1,12,1.0772,0.6012,0.116,0.4031,0.3506,0.2152,0.3922,0.5526,0.2649
"10",1,13,0.8674,0.4841,0.1123,0.434,0.3537,0.2527,0.42,0.4933,0.2108
"11",1,15,1.3636,0.761,0.0374,0.1798,0.2932,0.1951,0.1811,0.2675,0.1827
"12",1,16,0.5688,0.3175,0.0288,0.2895,0.242,0.1879,0.2479,0.2961,0.2559
"13",1,17,0.3435,0.1917,0.0858,0.471,0.3442,0.173,0.3535,0.5371,0.3084
"14",1,18,0.2578,0.1439,0.0487,0.3568,0.2503,0.3171,0.2426,0.2275,0.2135
"15",1,19,0.1353,0.0755,0.0069,0.1228,0.1697,0.1095,0.2322,0.2925,0.0956
"16",1,20,0.3992,0.2228,0.0271,0.383,0.3022,0.1621,0.3723,0.2555,0.351
"17",1,21,0.2986,0.1667,0.047,0.3986,0.2941,0.1098,0.3809,0.2816,0.3188
"18",1,22,0.6492,0.3623,0.167,0.4984,0.2949,0.1528,0.4087,0.4639,0.2703
"19",1,23,0.3941,0.2199,0.1105,0.5855,0.272,0.2395,0.4427,0.4118,0.2602
"20",1,24,0.4843,0.2703,0.1768,0.5816,0.3517,0.3715,0.4602,0.524,0.401
"21",1,25,0.4201,0.2345,0.0527,0.3181,0.1917,0.2306,0.1539,0.2813,0.2339
"22",1,26,0.1729,0.0965,0.011,0.2253,0.179,0.0696,0.2376,0.2692,0.1253
"23",1,27,0.2628,0.1466,0.0503,0.333,0.155,0.1913,0.2484,0.3676,0.2596
