"","COUNTYA","STATEA","Entropy","Entropy_std","H","D_wb","D_wa","D_wl","D_bl","D_ba","D_la"
"311",13,21,0.2565,0.1431,0.0902,0.4747,0.5218,0.2502,0.425,0.5153,0.4739
"312",13,22,0.8403,0.469,0.1467,0.374,0.5397,0.3527,0.2865,0.5132,0.6105
"313",13,23,0.2045,0.1141,0.0447,0.3751,0.3249,0.2511,0.4019,0.44,0.3095
"314",13,24,0.4209,0.2349,0.0679,0.3295,0.2984,0.2525,0.2909,0.3391,0.3234
"315",13,25,0.9415,0.5254,0.3002,0.6823,0.3883,0.6609,0.3964,0.5565,0.5737
"316",13,26,0.8628,0.4815,0.1501,0.7891,0.2328,0.1816,0.6822,0.7973,0.297
"317",13,27,0.424,0.2366,0.0653,0.4214,0.3852,0.191,0.3639,0.2743,0.3851
"318",13,28,0.8478,0.4732,0.1642,0.4181,0.3879,0.5655,0.6528,0.5551,0.6869
"319",13,29,0.2439,0.1361,0.0544,0.5872,0.4048,0.1596,0.5625,0.6733,0.3712
"320",13,30,0.5637,0.3146,0.0662,0.4316,0.274,0.2532,0.3013,0.3303,0.2477
"321",13,31,0.5834,0.3256,0.0527,0.2743,0.2737,0.2455,0.1994,0.3745,0.3144
"322",13,32,0.8533,0.4762,0.0751,0.5034,0.1812,0.1658,0.4012,0.5568,0.2411
"323",13,33,0.3048,0.1701,0.0664,0.4602,0.4102,0.1928,0.3636,0.3806,0.346
"324",13,34,1.3002,0.7256,0.3794,0.8092,0.3589,0.6467,0.6131,0.7719,0.6284
"325",13,35,0.8266,0.4614,0.1472,0.281,0.3881,0.3886,0.4441,0.3767,0.5937
"326",13,36,0.4684,0.2614,0.1607,0.5454,0.3909,0.5213,0.3053,0.6088,0.6029
"327",13,37,0.8817,0.4921,0.159,0.4133,0.4297,0.4073,0.3954,0.4234,0.5785
"328",13,38,0.2189,0.1222,0.0111,0.2355,0.2069,0.1362,0.3716,0.4423,0.0707
"329",13,39,0.3066,0.1711,0.2136,0.628,0.5085,0.3304,0.509,0.7589,0.5294
"330",13,40,0.9049,0.505,0.0318,0.457,0.4277,0.2428,0.4462,0.5521,0.471
"331",13,41,0.4464,0.2491,0.0351,0.3732,0.2947,0.2634,0.4609,0.481,0.2594
"332",13,42,0.2421,0.1351,0.0897,0.4932,0.444,0.3086,0.3693,0.5661,0.4662
"333",13,45,0.9725,0.5428,0.1996,0.5067,0.3299,0.4549,0.5382,0.4762,0.4042
