"","COUNTYA","STATEA","Entropy","Entropy_std","H","D_wb","D_wa","D_wl","D_bl","D_ba","D_la"
"2221",117,39,0.3007,0.1678,0.0102,0.1671,0.2892,0.1728,0.1763,0.3314,0.2566
"2222",117,40,0.8554,0.4774,0.0306,0.4008,0.26,0.0567,0.3594,0.3836,0.2539
"2223",117,42,0.3293,0.1838,0.0294,0.4895,0.3575,0.178,0.3714,0.441,0.249
"2224",117,46,0.5723,0.3194,0,0,0,0,0,0,0
"2225",117,47,0.686,0.3829,0.0565,0.4041,0.4159,0.2528,0.1721,0.2104,0.2483
"2226",117,48,0.6662,0.3718,0.0444,0.2401,0.1699,0.2129,0.0982,0.2266,0.2854
"2227",117,51,0.9365,0.5227,0.0541,0.2109,0.4648,0.2623,0.2748,0.5527,0.5601
"2228",117,55,0.736,0.4108,0.0817,0.4442,0.4519,0.3516,0.2256,0.3111,0.2302
"2229",117,72,0.2265,0.1264,0.0702,0.3267,0.2331,0.3276,0.2511,0.2846,0.2301
"2230",119,1,0.7407,0.4134,0.0562,0.2532,0.4142,0.1723,0.3273,0.5908,0.3057
"2231",119,5,1.1779,0.6574,0.1657,0.5095,0.364,0.4881,0.3087,0.5596,0.5795
"2232",119,8,0.5889,0.3287,0.0047,0.1728,0.1415,0.044,0.1766,0.1997,0.1215
"2233",119,12,0.6352,0.3545,0.183,0.6238,0.2024,0.4331,0.3359,0.6067,0.4484
"2234",119,13,0.6902,0.3852,0.0429,0.3575,0.1538,0.2466,0.1372,0.4156,0.3426
"2235",119,17,0.7363,0.411,0.1067,0.4625,0.3093,0.2691,0.401,0.5017,0.334
"2236",119,18,0.3161,0.1764,0.0071,0.2207,0.1918,0.1013,0.2608,0.3473,0.1523
"2237",119,19,0.3102,0.1731,0.0132,0.0536,0.4819,0.1002,0.1185,0.5173,0.5442
"2238",119,20,0.728,0.4063,0.0405,0.1046,0.564,0.2565,0.3611,0.4595,0.8206
"2239",119,21,0.1719,0.0959,0.0351,0.5734,0.1955,0.2419,0.4906,0.4573,0.1111
"2240",119,22,0.9018,0.5033,0.1312,0.355,0.3226,0.1354,0.3215,0.4261,0.3041
"2241",119,26,0.3133,0.1749,0.0121,0.2355,0.3973,0.2139,0.2813,0.25,0.334
"2242",119,27,0.6233,0.3479,0.0851,0.5856,0.3089,0.404,0.4573,0.4181,0.1703
"2243",119,28,0.6748,0.3766,0.0221,0.1948,0.3008,0.0759,0.2274,0.1151,0.3333
"2244",119,29,0.9939,0.5547,0.1217,0.6857,0.4735,0.5785,0.1185,0.2175,0.154
