"","COUNTYA","STATEA","Entropia","Entropia_std","H","D_wb","D_wa","D_wl","D_bl","D_ba","D_la"
"1",1,1,0.5743,0.3205,0.2693,0.5661,0.3744,0.3018,0.5859,0.6869,0.424
"2",1,4,0.6696,0.3737,0.5747,0.788,0.5468,0.2807,0.7599,0.7131,0.5937
"3",1,5,0.5719,0.3192,0.2884,0.5289,0.4757,0.4173,0.5265,0.6954,0.6319
"4",1,6,1.2387,0.6913,0.2345,0.6887,0.4037,0.4052,0.5651,0.5804,0.3961
"5",1,8,0.7731,0.4315,0.117,0.6055,0.3587,0.2813,0.6285,0.5974,0.4374
"6",1,9,0.7091,0.3958,0.3195,0.7178,0.3309,0.6242,0.3412,0.634,0.5263
"7",1,10,0.6834,0.3814,0.1092,0.3487,0.3737,0.2957,0.2306,0.3385,0.2332
"8",1,11,0.8848,0.4938,0.4622,0.8006,0.2963,0.528,0.653,0.7413,0.4513
"9",1,12,0.7652,0.4271,0.2157,0.4954,0.4162,0.2548,0.5767,0.7284,0.2997
"10",1,13,0.5837,0.3258,0.2289,0.5196,0.774,0.347,0.4541,0.6777,0.7958
"11",1,15,0.9972,0.5565,0.0792,0.3184,0.3331,0.2502,0.3664,0.4297,0.2159
"12",1,16,0.2658,0.1483,0.0387,0.3448,0.239,0.1757,0.3156,0.385,0.288
"13",1,17,0.1883,0.1051,0.2069,0.6423,0.4465,0.3275,0.6345,0.7356,0.483
"14",1,18,0.1534,0.0856,0.1368,0.6077,0.526,0.4573,0.6136,0.6935,0.5733
"15",1,19,0.0439,0.0245,0.1449,0.9001,0.609,0.5771,0.7143,0.5833,0.631
"16",1,20,0.241,0.1345,0.0912,0.4119,0.4877,0.3985,0.512,0.6148,0.6036
"17",1,21,0.1897,0.1058,0.1174,0.4471,0.4987,0.3978,0.6059,0.5964,0.6873
"18",1,22,0.5303,0.2959,0.4409,0.6806,0.603,0.3581,0.5665,0.8501,0.7127
"19",1,23,0.124,0.0692,0.0814,0.4395,0.3735,0.312,0.4431,0.4222,0.4555
"20",1,24,0.1624,0.0907,0.1404,0.5284,0.5249,0.3641,0.5133,0.5632,0.4144
"21",1,25,0.2586,0.1443,0.1172,0.4444,0.3636,0.3428,0.3411,0.4219,0.3919
"22",1,26,0.101,0.0563,0.1182,0.6704,0.5819,0.3466,0.702,0.6087,0.615
"23",1,27,0.118,0.0658,0.1617,0.6805,0.4996,0.5606,0.7604,0.5462,0.6762
"24",1,28,0.738,0.4119,0.4426,0.6346,0.4934,0.3572,0.5733,0.717,0.5032
"25",1,29,0.1581,0.0882,0.0827,0.4498,0.3853,0.2329,0.4389,0.306,0.3959
"26",1,30,0.184,0.1027,0.0412,0.5689,0.3447,0.2225,0.562,0.4181,0.3801
"27",1,31,0.1436,0.0802,0.0891,0.4837,0.424,0.3304,0.5283,0.5375,0.5372
"28",1,32,0.5807,0.3241,0.1392,0.4834,0.3928,0.1279,0.4561,0.3056,0.3465
"29",1,33,0.0861,0.0481,0.0757,0.4982,0.3686,0.3093,0.5411,0.6013,0.4292
"30",1,34,0.8128,0.4536,0.3423,0.7083,0.4219,0.5057,0.5264,0.6838,0.4376
"31",1,35,0.967,0.5397,0.1797,0.446,0.3149,0.4376,0.4068,0.392,0.5247
"32",1,36,0.4774,0.2665,0.2685,0.664,0.3582,0.3676,0.4395,0.6121,0.3296
"33",1,37,0.576,0.3215,0.2619,0.5204,0.4352,0.335,0.4665,0.6304,0.5272
"34",1,38,0.0317,0.0177,0.1831,0.9256,NA,0.9231,1,NA,NA
"35",1,39,0.0644,0.0359,0.0944,0.5228,0.5814,0.3434,0.6641,0.7796,0.6889
"36",1,40,0.7562,0.422,0.0766,0.7627,0.7754,0.271,0.6694,0.75,0.7918
"37",1,41,0.1755,0.098,0.0556,0.6118,0.3327,0.2479,0.5957,0.7264,0.3952
"38",1,42,0.1802,0.1006,0.1144,0.4904,0.3364,0.4022,0.4648,0.4763,0.4621
"39",1,44,0.1458,0.0814,0.0504,0.32,0.3312,0.2366,0.3243,0.4424,0.4454
"40",1,45,0.6686,0.3732,0.1678,0.3835,0.5393,0.3338,0.4932,0.4891,0.5763
"41",1,47,0.2748,0.1534,0.2328,0.551,0.578,0.3334,0.4958,0.5243,0.4665
"42",1,48,0.8463,0.4723,0.2183,0.5593,0.4231,0.5688,0.2239,0.5988,0.5609
"43",1,49,0.1979,0.1104,0.0343,0.5925,0.3773,0.1659,0.4917,0.4211,0.3535
"44",1,50,0.1194,0.0666,0.1146,0.5591,0.4477,0.3563,0.3624,0.2684,0.3241
"45",1,51,0.7337,0.4095,0.163,0.3803,0.363,0.4267,0.2777,0.5172,0.5197
"46",1,53,0.723,0.4035,0.2389,0.4939,0.4799,0.5056,0.4492,0.61,0.5666
"47",1,54,0.1663,0.0928,0.1221,0.551,0.4615,0.3651,0.5088,0.4925,0.4404
"48",1,55,0.2711,0.1513,0.2961,0.8423,0.6135,0.5518,0.3723,0.6268,0.4785
"49",1,56,0.4282,0.239,0.0801,0.361,0.3131,0.2672,0.4282,0.3682,0.4778
"50",3,1,0.4945,0.276,0.267,0.6127,0.3461,0.2401,0.6259,0.6443,0.4115
"51",3,4,0.9233,0.5153,0.2378,0.492,0.427,0.4928,0.7362,0.3099,0.7028
"52",3,5,0.6584,0.3675,0.3143,0.5895,0.5519,0.3519,0.5844,0.595,0.7091
"53",3,6,0.821,0.4582,0.1689,0.4205,0.1795,0.2691,0.3108,0.6,0.4486
"54",3,8,0.7899,0.4408,0.11,0.4055,0.335,0.3442,0.4828,0.3262,0.4278
"55",3,9,0.6924,0.3864,0.3951,0.7313,0.3508,0.693,0.5178,0.6466,0.6088
"56",3,10,0.6567,0.3665,0.3207,0.6219,0.348,0.4676,0.4608,0.6928,0.5526
"57",3,12,0.5155,0.2877,0.2563,0.6209,0.346,0.4009,0.5498,0.716,0.5959
"58",3,13,0.6946,0.3877,0.1255,0.3671,0.6511,0.2358,0.3377,0.74,0.5584
"59",3,15,0.9898,0.5524,0.1586,0.4433,0.4073,0.3443,0.4984,0.658,0.3129
"60",3,16,0.139,0.0776,0.0594,0.6428,0.7491,0.3242,0.3947,1,0.8684
"61",3,17,0.7023,0.392,0.266,0.5468,0.6224,0.3842,0.5439,0.3489,0.6921
"62",3,18,0.4934,0.2754,0.3426,0.7213,0.366,0.4046,0.5137,0.6669,0.4567
"63",3,19,0.0446,0.0249,0.1292,0.6727,0.6977,0.4349,0.5556,0.6667,0.8333
"64",3,20,0.1232,0.0688,0.0931,0.4702,0.7623,0.3534,0.4478,0.5586,0.7059
"65",3,21,0.0885,0.0494,0.1742,0.5715,0.7486,0.5305,0.8068,0.6061,0.7083
"66",3,22,0.7261,0.4052,0.3512,0.626,0.6247,0.7665,0.7263,0.5901,0.5298
"67",3,23,0.1792,0.1,0.1727,0.7019,0.5596,0.5687,0.2853,0.4034,0.3763
"68",3,24,0.5487,0.3062,0.216,0.5505,0.3523,0.33,0.4421,0.4534,0.2936
"69",3,25,0.2051,0.1144,0.1317,0.5039,0.4259,0.3266,0.3983,0.528,0.3982
"70",3,26,0.307,0.1714,0.1478,0.7844,0.5212,0.4121,0.4509,0.4024,0.312
"71",3,27,0.196,0.1094,0.055,0.4509,0.2962,0.2501,0.4244,0.4718,0.3416
"72",3,28,0.3937,0.2197,0.3318,0.5744,0.5034,0.3504,0.5264,0.6926,0.5873
"73",3,29,0.0868,0.0484,0.0892,0.7753,0.4121,0.3003,0.6379,0.8899,0.5593
"74",3,30,0.8209,0.4582,0.2823,0.5892,0.3287,0.2691,0.4804,0.6984,0.4037
"75",3,31,0.0352,0.0196,0.1927,0.8986,0.7351,0.8484,1,0.7778,1
"76",3,32,0.8354,0.4662,0.1534,0.5116,0.2585,0.3059,0.4105,0.4768,0.2874
"77",3,33,0.073,0.0408,0.1186,0.571,0.5527,0.3144,0.6321,0.6333,0.5936
"78",3,34,0.6599,0.3683,0.2115,0.7212,0.3532,0.3648,0.5754,0.7228,0.4328
"79",3,35,0.6602,0.3685,0.0332,0.2996,0.4425,0.1815,0.1181,0.3571,0.3585
"80",3,36,0.1262,0.0704,0.122,0.5243,0.571,0.3743,0.4204,0.4366,0.4794
"81",3,37,0.2943,0.1642,0.1964,0.5411,0.6243,0.2826,0.41,0.824,0.6938
"82",3,38,0.0837,0.0467,0.1348,0.5255,0.5738,0.5469,0.4837,0.5994,0.7477
"83",3,39,0.4606,0.2571,0.2982,0.6203,0.5405,0.3326,0.4488,0.7038,0.5664
"84",3,40,0.3516,0.1962,0.2532,0.8518,0.8209,0.4597,0.6617,0.3333,0.6667
"85",3,41,0.4184,0.2335,0.083,0.3681,0.4252,0.2071,0.289,0.2768,0.3238
"86",3,42,0.4569,0.255,0.4604,0.7604,0.5216,0.3773,0.6562,0.7998,0.5043
"87",3,44,0.1605,0.0896,0.0598,0.3327,0.3417,0.2714,0.3466,0.3472,0.4046
"88",3,45,0.6343,0.354,0.2327,0.4748,0.4673,0.307,0.5497,0.6761,0.5156
"89",3,46,0.0918,0.0512,0.225,NA,0.6489,0.6661,NA,NA,0.6667
"90",3,47,0.3991,0.2227,0.151,0.4467,0.4406,0.3184,0.4501,0.4952,0.4754
"91",3,48,0.8046,0.449,0.0918,0.4404,0.4558,0.2755,0.3691,0.5375,0.4981
"92",3,49,0.3022,0.1686,0.0533,0.6762,0.2737,0.2588,0.6379,0.6036,0.3345
"93",3,50,0.1023,0.0571,0.0715,0.4419,0.3402,0.2918,0.4924,0.4,0.3909
"94",3,51,0.5116,0.2856,0.1179,0.3374,0.5108,0.3008,0.3084,0.5532,0.4451
"95",3,53,0.2073,0.1157,0.0447,0.3985,0.2587,0.2565,0.3285,0.4183,0.3577
"96",3,54,0.2426,0.1354,0.1244,0.471,0.3415,0.3305,0.4283,0.491,0.4306
"97",3,55,0.3647,0.2035,0.3021,0.6843,0.5095,0.347,0.6778,0.4786,0.5904
"98",3,56,0.2552,0.1424,0.0834,0.9386,0.4897,0.3136,0.9546,1,0.6021
"99",5,1,0.736,0.4108,0.1338,0.3578,0.5541,0.3903,0.4137,0.6543,0.6247
"100",5,4,1.005,0.5609,0.4031,0.4629,0.3786,0.3664,0.3303,0.5118,0.4752
"101",5,5,0.0757,0.0423,0.0538,0.9248,0.3931,0.2403,0.9357,0.9667,0.3889
"102",5,6,0.6276,0.3503,0.242,0.8501,0.3032,0.4625,0.3903,0.6737,0.3361
"103",5,8,0.5897,0.3291,0.0919,0.4581,0.2729,0.2604,0.3493,0.3214,0.2794
"104",5,9,0.1735,0.0968,0.0672,0.3713,0.3549,0.2776,0.3538,0.3772,0.3644
"105",5,10,0.5838,0.3258,0.1651,0.4132,0.4312,0.4343,0.4056,0.5115,0.5381
"106",5,12,0.5566,0.3106,0.2593,0.5938,0.3498,0.292,0.6113,0.4974,0.3104
"107",5,13,0.4952,0.2764,0.1616,0.4703,0.4635,0.2344,0.4704,0.6174,0.5088
"108",5,15,0.7501,0.4186,0,NA,0,0,NA,NA,0
"109",5,16,0.3811,0.2127,0.1348,0.5046,0.3265,0.2395,0.4725,0.4462,0.3606
"110",5,17,0.1905,0.1063,0.174,0.5415,0.5031,0.5078,0.5885,0.6614,0.3768
"111",5,18,0.1923,0.1074,0.1121,0.4047,0.5354,0.3328,0.4349,0.5397,0.5841
"112",5,19,0.047,0.0262,0.094,0.8219,0.3981,0.378,0.7381,0.8462,0.3864
"113",5,20,0.3905,0.2179,0.1567,0.5346,0.6218,0.3782,0.5877,0.4778,0.39
"114",5,21,0.176,0.0982,0.3016,0.6912,0.5699,0.2924,0.7714,0.6412,0.6588
"115",5,22,0.6453,0.3601,0.312,0.6235,0.4073,0.2747,0.5609,0.7297,0.4768
"116",5,23,0.1475,0.0823,0.0954,0.4619,0.3999,0.3272,0.3831,0.4102,0.3908
"117",5,24,0.5546,0.3095,0.3179,0.6833,0.4177,0.3007,0.5568,0.6612,0.3656
"118",5,25,0.3256,0.1817,0.1939,0.4966,0.4322,0.4968,0.3695,0.5854,0.6119
"119",5,26,0.2886,0.1611,0.1731,0.6812,0.4191,0.4481,0.6567,0.7214,0.5361
"120",5,27,0.302,0.1685,0.2916,0.5317,0.3592,0.4832,0.4917,0.53,0.4767
"121",5,28,0.7142,0.3986,0.1617,0.3593,0.7135,0.4766,0.4791,0.7949,0.8485
"122",5,29,0.1666,0.093,0.164,0.7436,0.5698,0.4784,0.3384,0.2735,0.1511
"123",5,30,0.7256,0.405,0.5862,0.841,0.5308,0.4611,0.463,0.5,0.3333
"124",5,31,0.0433,0.0242,0.0601,NA,NA,NA,NA,NA,NA
"125",5,32,0.4085,0.228,0.0995,0.4447,0.3462,0.2333,0.3265,0.3902,0.2159
"126",5,33,0.094,0.0525,0.0729,0.4269,0.3368,0.2788,0.4518,0.4696,0.3624
"127",5,34,0.6582,0.3673,0.2365,0.6136,0.366,0.4704,0.3307,0.5319,0.3744
"128",5,35,0.8145,0.4546,0.1403,0.4955,0.3992,0.3598,0.3487,0.4999,0.5036
"129",5,36,1.1929,0.6658,0.3136,0.7548,0.5373,0.7122,0.3876,0.6627,0.5427
"130",5,37,0.1533,0.0855,0.085,0.4145,0.7935,0.2705,0.5525,0.4659,0.8588
"131",5,38,0.6934,0.387,0.6149,NA,0.9306,0.7147,NA,NA,0.6667
"132",5,39,0.1247,0.0696,0.1196,0.515,0.4628,0.3326,0.4548,0.5427,0.4194
"133",5,40,0.6485,0.3619,0.0746,0.5303,0.4114,0.2779,0.45,0.4998,0.572
"134",5,41,0.2725,0.1521,0.0518,0.3683,0.2772,0.2524,0.4445,0.3239,0.3959
"135",5,42,0.0791,0.0441,0.189,0.6339,0.6119,0.4435,0.6968,0.707,0.6687
"136",5,44,0.357,0.1992,0.134,0.5558,0.3418,0.3322,0.3032,0.397,0.2631
"137",5,45,0.7002,0.3908,0.2252,0.4396,0.8399,0.6389,0.5419,0.8548,0.8758
"138",5,46,0.1216,0.0679,0.0864,0.4281,0.4947,0.3212,0.3549,0.3886,0.4156
"139",5,47,0.1723,0.0962,0.1343,0.5025,0.4386,0.243,0.5482,0.6644,0.4409
"140",5,48,0.7511,0.4192,0.2784,0.6003,0.5332,0.504,0.4501,0.6768,0.6238
"141",5,49,0.3099,0.173,0.1291,0.631,0.5136,0.2704,0.5998,0.3444,0.4328
"142",5,50,0.0773,0.0431,0.0866,0.4813,0.3601,0.286,0.535,0.5158,0.483
"143",5,51,0.1714,0.0956,0.0945,0.3871,0.5968,0.3533,0.6561,0.3744,0.7769
"144",5,53,0.4662,0.2602,0.1172,0.3603,0.3513,0.4257,0.5435,0.3563,0.5388
"145",5,54,0.079,0.0441,0.1629,0.6133,0.8433,0.4398,0.4023,0.8692,0.9265
"146",5,55,0.0808,0.0451,0.1385,0.5907,0.3838,0.3971,0.7161,0.6634,0.5347
"147",5,56,0.2199,0.1227,0.0382,0.4284,0.4171,0.1843,0.4416,0.4095,0.382
"148",6,35,1.144,0.6385,0.4211,0.4979,0.4322,0.265,0.4838,0.5595,0.4207
"149",7,1,0.5453,0.3043,0.12,0.3485,0.5704,0.4757,0.4154,0.6363,0.6387
"150",7,4,0.8736,0.4876,0.5031,0.6695,0.4048,0.5118,0.5622,0.5391,0.5848
"151",7,5,0.1881,0.105,0.0811,0.6118,0.4146,0.3282,0.6095,0.6887,0.4236
"152",7,6,0.5399,0.3013,0.1097,0.4842,0.4191,0.3012,0.4432,0.4039,0.3643
"153",7,8,0.6663,0.3719,0.0764,0.8685,0.2892,0.2852,0.9783,0.8,0.4069
"154",7,9,0.3417,0.1907,0.1454,0.5649,0.3667,0.3286,0.3617,0.4139,0.31
"155",7,12,0.6406,0.3575,0.1921,0.4992,0.3367,0.3455,0.3855,0.5506,0.5214
"156",7,13,0.7311,0.408,0.0277,0.1481,0.7433,0.3147,0.4241,0.8527,0.4286
"157",7,15,0.9793,0.5465,0.0906,0.3999,0.3373,0.3267,0.45,0.4956,0.2075
"158",7,16,0.1309,0.0731,0.0574,NA,0.364,0.3358,NA,NA,0.4015
"159",7,17,0.3142,0.1754,0.1224,0.4564,0.3628,0.3962,0.3879,0.5169,0.4732
"160",7,18,0.0814,0.0454,0.1591,0.7724,0.8808,0.5582,0.9352,1,0.963
"161",7,19,0.1032,0.0576,0.1008,0.4839,0.485,0.3397,0.3673,0.6006,0.3611
"162",7,20,0.1202,0.0671,0.1131,0.4558,0.9586,0.4472,0.7945,0.8462,0.9589
"163",7,21,0.1867,0.1042,0.0838,0.3329,0.7142,0.2972,0.365,0.4792,0.6585
"164",7,22,0.7263,0.4054,0.2959,0.5759,0.8273,0.2846,0.4444,0.9651,0.8417
"165",7,23,0.0735,0.041,0.07,0.4317,0.4643,0.2671,0.3667,0.4605,0.4251
"166",7,25,0.3192,0.1781,0.1452,0.4049,0.4186,0.2954,0.3597,0.583,0.5313
"167",7,26,0.0789,0.044,0.0878,0.5786,0.4866,0.3069,0.6877,0.719,0.5757
"168",7,27,0.5255,0.2933,0.4656,0.4122,0.4771,0.3378,0.4775,0.4627,0.5196
"169",7,28,0.7125,0.3976,0.1337,0.3802,0.7728,0.4553,0.3865,0.6663,0.7851
"170",7,29,0.2868,0.1601,0.2305,0.572,0.4546,0.2808,0.6416,0.603,0.5094
"171",7,30,0.1426,0.0796,0.0468,0.7561,0.4306,0.3727,0.8485,0.4,0.6182
"172",7,31,0.1393,0.0777,0.0213,0.5718,NA,0.0072,0.5789,NA,NA
"173",7,32,0.6896,0.3849,0.1843,0.5721,0.2967,0.3062,0.5718,0.5572,0.3281
"174",7,33,0.0742,0.0414,0.0888,0.4442,0.4033,0.3981,0.4721,0.556,0.593
"175",7,34,0.7969,0.4448,0.4122,0.718,0.4495,0.7528,0.4306,0.6809,0.7117
"176",7,35,0.7679,0.4286,0.1391,0.65,0.5169,0.3549,0.5702,0.731,0.5999
"177",7,36,0.2644,0.1475,0.1302,0.4673,0.4889,0.3564,0.3596,0.4631,0.3664
"178",7,37,0.7361,0.4108,0.1413,0.3762,0.5237,0.5072,0.5348,0.6515,0.7988
"179",7,38,0.0187,0.0104,0.1427,NA,NA,NA,NA,NA,NA
"180",7,39,0.26,0.1451,0.1692,0.505,0.4457,0.4484,0.4225,0.5875,0.5393
"181",7,40,0.2665,0.1488,0.0874,0.8311,0.7752,0.3089,0.81,1,0.7067
"182",7,41,0.2474,0.1381,0.0757,0.5578,0.3649,0.2636,0.5062,0.5599,0.3033
"183",7,42,0.28,0.1563,0.3265,0.6529,0.454,0.3283,0.5696,0.739,0.5105
"184",7,44,0.6192,0.3456,0.305,0.665,0.5995,0.6429,0.364,0.511,0.4939
"185",7,45,0.5003,0.2792,0.2731,0.5522,0.4859,0.3751,0.5959,0.6457,0.4844
"186",7,46,0.7661,0.4276,0.1187,0.3791,0.5041,0.2582,0.3036,0.125,0.4286
"187",7,47,0.2195,0.1225,0.216,0.6988,0.7306,0.3224,0.6499,1,0.6842
"188",7,48,0.7594,0.4238,0.1185,0.5705,0.4401,0.3692,0.282,0.5462,0.4488
"189",7,49,0.4454,0.2486,0.0726,0.5051,0.3792,0.28,0.5118,0.4333,0.509
"190",7,50,0.1682,0.0939,0.0532,0.3353,0.3264,0.2535,0.2864,0.3083,0.2883
"191",7,51,0.6796,0.3793,0.0368,0.1901,0.4459,0.4516,0.4897,0.446,0.8
"192",7,53,0.4127,0.2303,0.1017,0.4733,0.3739,0.3663,0.5334,0.4753,0.4588
"193",7,54,0.0681,0.038,0.1254,0.5263,0.5797,0.384,0.7068,0.7826,0.5993
"194",7,55,0.3492,0.1949,0.3878,0.8215,0.6597,0.5353,0.6621,0.8822,0.6967
"195",7,56,0.5105,0.2849,0.1901,0.6271,0.4557,0.4268,0.4333,0.6367,0.5911
"196",9,1,0.1436,0.0802,0.2409,0.7767,0.6141,0.4559,0.81,0.7019,0.6445
"197",9,4,1.0382,0.5794,0.3957,0.5592,0.376,0.2932,0.4466,0.5545,0.3087
"198",9,5,0.0861,0.0481,0.0613,0.7635,0.4486,0.2725,0.7953,0.8974,0.3981
"199",9,6,0.3773,0.2106,0.047,0.4743,0.2654,0.1853,0.3737,0.46,0.2807
"200",9,8,0.3033,0.1693,0.0543,0.8087,0.5793,0.2228,0.8235,0.4286,0.6571
"201",9,9,0.6374,0.3558,0.348,0.7092,0.4205,0.604,0.4927,0.6651,0.6421
"202",9,12,0.4991,0.2786,0.248,0.6134,0.2903,0.2463,0.5707,0.6111,0.2562
"203",9,13,0.7708,0.4302,0.1554,0.3607,0.384,0.3516,0.4413,0.5122,0.3786
"204",9,15,0.9591,0.5353,0.1377,0.2949,0.4575,0.3015,0.3021,0.3808,0.2346
"205",9,16,0.3734,0.2084,0.2424,0.7973,0.5041,0.2669,0.8387,0.7143,0.6118
"206",9,17,0.419,0.2339,0.4269,0.8524,0.3307,0.8062,0.0481,0.5981,0.5808
"207",9,18,0.0727,0.0406,0.066,0.8096,0.4142,0.3006,0.9111,0.9375,0.4458
"208",9,19,0.0307,0.0171,0.0795,NA,0.5243,0.3222,NA,NA,0.6061
"209",9,20,0.2466,0.1376,0.1234,0.5597,0.4471,0.4086,0.4877,0.5234,0.5235
"210",9,21,0.2384,0.133,0.1901,0.506,0.5927,0.3953,0.5404,0.6731,0.7183
"211",9,22,0.6861,0.3829,0.2549,0.5242,0.5529,0.4696,0.5594,0.5885,0.4578
"212",9,23,0.0948,0.0529,0.0974,0.6341,0.4259,0.357,0.6233,0.6749,0.5696
"213",9,24,0.5379,0.3002,0.0891,0.3322,0.251,0.2469,0.4807,0.4309,0.3262
"214",9,25,0.4269,0.2382,0.3297,0.5659,0.4522,0.7166,0.5757,0.457,0.6399
"215",9,26,0.1172,0.0654,0.0917,0.5597,0.5242,0.5199,0.7029,0.663,0.5104
"216",9,27,0.0995,0.0556,0.0735,0.5221,0.3815,0.2549,0.6162,0.4779,0.4508
"217",9,28,0.7037,0.3927,0.1784,0.4647,0.6694,0.3028,0.3389,0.5303,0.5135
"218",9,29,0.1146,0.064,0.0749,0.7617,0.5559,0.324,0.8048,0.8761,0.6097
"219",9,30,0.1126,0.0628,0.0731,0.8177,0.4027,0.3494,0.7667,0.9412,0.5346
"220",9,31,0.0425,0.0237,0.0702,0.3964,NA,NA,NA,NA,NA
"221",9,32,0.5698,0.318,0.0263,0.4828,0.1078,0.2052,0.688,0.375,0.313
"222",9,33,0.1589,0.0887,0.1329,0.5925,0.5294,0.3454,0.4353,0.2944,0.396
"223",9,34,0.3634,0.2028,0.2585,0.684,0.3511,0.4334,0.5614,0.6421,0.5209
"224",9,35,0.9035,0.5042,0.1647,0.5099,0.3571,0.4554,0.3601,0.4249,0.496
"225",9,36,0.222,0.1239,0.2904,0.5097,0.5039,0.3463,0.4877,0.6011,0.5971
"226",9,37,0.087,0.0485,0.125,0.6057,0.5498,0.3703,0.5241,0.5614,0.7113
"227",9,38,0.077,0.043,0.1174,0.7772,0.5858,0.6253,0.5625,0.8667,0.8667
"228",9,39,0.3036,0.1695,0.1522,0.3967,0.5594,0.32,0.3675,0.3992,0.3858
"229",9,40,0.3765,0.2101,0.0813,0.5301,0.5395,0.1742,0.5567,0.6863,0.6006
"230",9,41,0.213,0.1189,0.0372,0.5325,0.2757,0.207,0.5425,0.587,0.3458
"231",9,42,0.0589,0.0329,0.1345,0.5783,0.5855,0.4492,0.628,0.555,0.575
"232",9,44,0.2314,0.1292,0.0953,0.378,0.4176,0.3016,0.2976,0.4093,0.3518
"233",9,45,0.7091,0.3957,0.2244,0.4482,0.6604,0.5749,0.5918,0.7764,0.8267
"234",9,46,0.1621,0.0904,0.2369,0.7736,0.6226,0.3747,0.5722,0.4545,0.5
"235",9,47,0.2177,0.1215,0.2888,0.6368,0.4354,0.3388,0.6457,0.6974,0.5167
"236",9,48,0.1556,0.0869,0.0878,0.5542,0.7008,0.3864,0.7196,0.5455,0.6667
"237",9,49,0.1899,0.106,0.0647,NA,0.7534,0.1694,NA,NA,0.8
"238",9,50,0.0792,0.0442,0.0977,0.4698,0.4773,0.3914,0.5128,0.5874,0.4182
"239",9,51,0.5924,0.3306,0.0988,0.2697,0.4411,0.5089,0.5617,0.6302,0.4138
"240",9,53,0.376,0.2099,0.2115,0.6194,0.2682,0.3262,0.4978,0.653,0.3792
"241",9,54,0.0932,0.052,0.1177,0.5129,0.5198,0.3794,0.5336,0.696,0.5108
"242",9,55,0.2412,0.1346,0.1936,0.5447,0.5925,0.3999,0.5328,0.6272,0.4127
"243",9,56,0.286,0.1596,0.061,0.579,0.4512,0.2158,0.5894,0.697,0.5007
"244",11,1,0.6328,0.3532,0.0827,0.3096,0.552,0.2697,0.2351,0.5752,0.4615
"245",11,4,0.7982,0.4455,0.1382,0.5273,0.6853,0.3125,0.4731,0.7407,0.5073
"246",11,5,0.7112,0.3969,0.1049,0.2444,0.8581,0.3935,0.46,0.9168,0.9948
"247",11,6,0.8553,0.4774,0.0432,0.5569,0.2732,0.1681,0.598,0.6254,0.3348
"248",11,8,0.6885,0.3843,0.0667,0.4329,0.2879,0.2666,0.437,0.3899,0.2954
"249",11,9,0.4349,0.2427,0.1647,0.5324,0.3365,0.4552,0.2337,0.4502,0.4249
"250",11,12,0.7868,0.4391,0.2957,0.717,0.2822,0.2926,0.6338,0.6755,0.2468
"251",11,13,0.2168,0.121,0.1272,0.4828,0.3885,0.2868,0.3654,0.8318,0.6203
"252",11,16,0.5881,0.3282,0.2583,0.5723,0.301,0.2583,0.5522,0.6381,0.3837
"253",11,17,0.1839,0.1026,0.2812,0.6457,0.6018,0.6288,0.6534,0.7501,0.6359
"254",11,18,0.0897,0.0501,0.0801,0.4373,0.33,0.349,0.6237,0.4463,0.4925
"255",11,19,0.0555,0.031,0.086,0.6778,0.5026,0.3235,0.6326,0.6667,0.4418
"256",11,20,0.1978,0.1104,0.1182,0.4353,0.6413,0.3832,0.4327,0.7072,0.5853
"257",11,21,0.1656,0.0924,0.1949,0.6172,0.5051,0.3028,0.787,0.5495,0.4378
"258",11,22,0.5435,0.3033,0.3044,0.5895,0.4865,0.3045,0.4514,0.6029,0.4305
"259",11,23,0.0957,0.0534,0.074,0.4749,0.3891,0.2519,0.4558,0.5001,0.3938
"260",11,24,0.5307,0.2962,0.1238,0.3531,0.5292,0.3254,0.2921,0.512,0.3955
"261",11,25,0.1696,0.0946,0.079,0.3696,0.3402,0.3266,0.3096,0.3187,0.3417
"262",11,26,0.138,0.077,0.091,0.7381,0.6049,0.3901,0.7563,0.8211,0.6755
"263",11,27,0.0738,0.0412,0.1107,0.6638,0.4152,0.5247,0.4348,0.8667,0.713
"264",11,28,0.7265,0.4055,0.437,0.6422,0.3916,0.4854,0.4516,0.7235,0.5473
"265",11,29,0.109,0.0608,0.0789,0.6308,0.3477,0.3313,0.6396,0.6753,0.3665
"266",11,30,0.0932,0.052,0.0493,NA,0.5899,0.275,NA,NA,0.4167
"267",11,31,0.0344,0.0192,0.1303,0.9231,0.9658,0.4146,1,1,1
"268",11,32,0.4779,0.2667,0.023,0.5629,0.3612,0.0886,0.4957,0.7,0.2797
"269",11,33,0.2115,0.118,0.1042,0.4049,0.3805,0.4153,0.314,0.396,0.4508
"270",11,34,0.9044,0.5048,0.2548,0.5315,0.4137,0.5306,0.4894,0.6005,0.6091
"271",11,35,0.7164,0.3998,0.1772,0.9088,NA,0.4237,0.4851,NA,NA
"272",11,36,0.2736,0.1527,0.3074,0.7104,0.3755,0.5871,0.2401,0.7487,0.6656
"273",11,37,0.1247,0.0696,0.129,0.5988,0.5957,0.4033,0.551,0.5859,0.6534
"274",11,38,0.0344,0.0192,0.1693,NA,0.7483,0.5841,NA,NA,0.75
"275",11,39,0.0792,0.0442,0.1023,0.5532,0.492,0.3636,0.5386,0.7832,0.4948
