"","COUNTYA","STATEA","Entropia","Entropia_std","H","D_wb","D_wa","D_wl","D_bl","D_ba","D_la"
"2998",315,48,0.7212,0.4025,0.136,0.3823,0.6912,0.313,0.4777,0.7362,0.6259
"2999",317,13,0.7313,0.4082,0.1262,0.3417,0.5987,0.3476,0.3658,0.772,0.7409
"3000",317,48,0.7885,0.4401,0.048,0.4022,0.8719,0.1872,0.271,0.5057,0.6847
"3001",319,13,0.7084,0.3954,0.1639,0.3145,0.5863,0.4046,0.5729,0.7286,0.4667
"3002",319,48,0.5319,0.2968,0.1098,0.7798,0.6701,0.3127,0.842,1,0.7154
"3003",321,13,0.7033,0.3925,0.1426,0.362,0.3567,0.4275,0.582,0.4802,0.545
"3004",321,48,1.0325,0.5762,0.2335,0.5299,0.6292,0.368,0.5398,0.7391,0.6174
"3005",323,48,0.2921,0.163,0.192,0.4808,0.6593,0.399,0.69,0.537,0.7161
"3006",325,48,0.746,0.4164,0.1236,0.6396,0.3337,0.3445,0.4573,0.6248,0.4844
"3007",327,48,0.6731,0.3757,0.0939,0.5175,NA,0.3089,0.3457,NA,NA
"3008",329,48,0.8398,0.4687,0.3224,0.7152,0.4241,0.542,0.4869,0.7299,0.6487
"3009",331,48,0.8046,0.449,0.1091,0.433,0.5259,0.2827,0.3086,0.435,0.4698
"3010",333,48,0.3697,0.2064,0.0415,0.7975,0.7975,0.1664,0.8946,0,0.8946
"3011",335,48,0.7989,0.4459,0.0707,0.3533,0.7699,0.2823,0.219,0.6326,0.7275
"3012",337,48,0.1786,0.0997,0.0766,0.9345,0.6617,0.3238,0.8723,1,0.7901
"3013",339,48,0.4957,0.2767,0.1955,0.6379,0.4353,0.3597,0.5054,0.6822,0.5146
"3014",341,48,0.7654,0.4272,0.1985,0.5257,0.4631,0.4453,0.4833,0.377,0.4737
"3015",343,48,0.6794,0.3792,0.1102,0.3695,0.5941,0.3036,0.4311,0.7709,0.5941
"3016",345,48,0.5163,0.2882,0.0529,0.4209,0.5239,0.1741,0.2647,0.1029,0.3676
"3017",347,48,0.6889,0.3845,0.2501,0.536,0.3926,0.3723,0.5169,0.7126,0.5742
"3018",349,48,0.788,0.4398,0.2578,0.5229,0.4287,0.336,0.5305,0.6421,0.4986
"3019",351,48,0.6204,0.3462,0.3084,0.6349,0.5496,0.31,0.5315,0.7951,0.549
"3020",353,48,0.7743,0.4321,0.1717,0.5242,0.5744,0.4218,0.3136,0.5369,0.6207
"3021",355,48,0.8974,0.5009,0.263,0.6092,0.3986,0.5112,0.5137,0.6364,0.62
"3022",357,48,0.545,0.3041,0.0875,0.791,0.4274,0.2967,0.9445,0.7143,0.6691
"3023",359,48,0.4429,0.2472,0.0477,0.7228,0.5434,0.1685,0.82,0.7647,0.67
"3024",361,48,0.4544,0.2536,0.4091,0.8002,0.62,0.199,0.769,0.7594,0.6242
"3025",363,48,0.5083,0.2837,0.146,0.5799,0.65,0.3255,0.3931,0.6823,0.6614
"3026",365,48,0.6047,0.3375,0.2082,0.4634,0.6176,0.2429,0.4913,0.5869,0.652
"3027",367,48,0.2796,0.156,0.0588,0.5084,0.4044,0.203,0.4837,0.538,0.3908
"3028",369,48,0.7719,0.4308,0.0988,0.3384,0.6714,0.3116,0.333,0.4575,0.7386
"3029",371,48,0.7408,0.4134,0.1795,0.5544,0.5087,0.4012,0.4139,0.6499,0.6609
"3030",373,48,0.6877,0.3838,0.2698,0.5562,0.5459,0.4356,0.5419,0.756,0.5584
"3031",375,48,0.9291,0.5186,0.2697,0.6187,0.7132,0.444,0.601,0.6831,0.6689
"3032",377,48,0.4975,0.2777,0.2285,0.9064,0.3823,0.5631,0.6854,0.6,0.6336
"3033",379,48,0.3253,0.1816,0.0916,0.4467,0.6827,0.2703,0.4071,0.4507,0.5522
"3034",381,48,0.3883,0.2167,0.0777,0.3879,0.4562,0.2833,0.3807,0.4956,0.5614
"3035",383,48,0.7932,0.4427,0.1436,0.7366,NA,0.3902,0.3464,NA,NA
"3036",385,48,0.6035,0.3368,0.0913,NA,NA,0.3101,NA,NA,NA
"3037",387,48,0.6269,0.3499,0.195,0.5162,0.59,0.2391,0.4667,0.8799,0.641
"3038",389,48,0.6819,0.3806,0.1555,0.5415,0.5363,0.4142,0.3667,0.6387,0.6218
"3039",391,48,0.9214,0.5142,0.0722,0.4003,0.8259,0.2279,0.3363,0.5312,0.7193
"3040",393,48,0.1674,0.0934,0.0158,NA,0.3593,0.1407,NA,NA,0.5
"3041",395,48,0.9324,0.5204,0.2483,0.5902,0.4807,0.4097,0.4984,0.7076,0.6394
"3042",397,48,0.4335,0.2419,0.122,0.5431,0.2908,0.3571,0.5299,0.5434,0.4106
"3043",399,48,0.6539,0.3649,0.0858,0.4804,0.6082,0.2748,0.3311,0.5742,0.603
"3044",401,48,0.692,0.3862,0.1634,0.4157,0.4542,0.4118,0.4764,0.6231,0.5499
"3045",403,48,0.4419,0.2466,0.2399,0.5648,0.5461,0.294,0.3926,0.7262,0.6478
"3046",405,48,0.691,0.3856,0.3029,0.4757,0.6214,0.1656,0.5568,0.6453,0.6667
"3047",407,48,0.5836,0.3257,0.1034,0.3521,0.6992,0.2986,0.5328,0.6835,0.6427
"3048",409,48,0.803,0.4481,0.2495,0.5186,0.4586,0.4931,0.4683,0.6017,0.6101
"3049",411,48,0.5184,0.2893,0.0538,0.4844,0.8335,0.2114,0.3838,0.5385,0.7144
"3050",413,48,0.7086,0.3955,0.0886,0.5641,NA,0.3294,0.2347,NA,NA
"3051",415,48,0.7617,0.4251,0.195,0.6782,0.5672,0.4185,0.5475,0.7242,0.6036
"3052",417,48,0.342,0.1909,0.0467,0.7005,0.5789,0.2281,0.6336,0.4167,0.6029
"3053",419,48,0.6499,0.3627,0.2359,0.5221,0.5552,0.3684,0.5019,0.5134,0.5141
"3054",421,48,0.5273,0.2943,0.0305,0.4518,0.6712,0.143,0.4563,0.25,0.5576
"3055",423,48,0.7709,0.4302,0.3387,0.6002,0.44,0.5914,0.5233,0.6792,0.6724
"3056",425,48,0.4804,0.2681,0.0705,0.3239,0.3951,0.2772,0.2246,0.4889,0.5217
"3057",427,48,0.1393,0.0778,0.039,0.6593,0.6424,0.2196,0.6512,0.7009,0.7042
"3058",429,48,0.4533,0.253,0.1244,0.5046,0.4388,0.3877,0.3826,0.6349,0.5625
"3059",431,48,0.5911,0.3299,0.0016,NA,NA,0.0082,NA,NA,NA
"3060",433,48,0.5743,0.3205,0.0735,0.4459,0.5972,0.2617,0.1917,0.9091,0.827
"3061",435,48,0.7282,0.4064,0.1342,0.7914,0.3507,0.3564,0.7599,0.5,0.4035
"3062",437,48,0.8136,0.4541,0.1275,0.5188,0.4756,0.3777,0.2842,0.747,0.5905
"3063",439,48,0.8545,0.4769,0.3081,0.6492,0.423,0.4912,0.6017,0.6437,0.5555
"3064",441,48,0.7248,0.4045,0.1693,0.4683,0.3389,0.4416,0.4014,0.4106,0.5308
"3065",443,48,0.7292,0.407,0.3028,0.3548,0.3548,0.5954,0.8043,0,0.8043
"3066",445,48,0.8469,0.4727,0.1591,0.534,0.5933,0.3667,0.2636,0.5228,0.6001
"3067",447,48,0.3019,0.1685,0.0154,NA,0.2402,0.0952,NA,NA,0.2206
"3068",449,48,0.7528,0.4202,0.2081,0.5395,0.6511,0.494,0.3571,0.61,0.649
"3069",451,48,0.8071,0.4505,0.2127,0.4877,0.4144,0.4635,0.4749,0.4543,0.5305
"3070",453,48,0.9714,0.5422,0.2351,0.5961,0.4027,0.4488,0.4469,0.5989,0.5225
"3071",455,48,0.5484,0.3061,0.2743,0.6598,0.5648,0.3848,0.4925,0.7308,0.6066
"3072",457,48,0.4472,0.2496,0.2736,0.6269,0.729,0.2663,0.6192,0.4642,0.7458
"3073",459,48,0.5043,0.2815,0.1332,0.4125,0.5623,0.211,0.3791,0.62,0.6025
"3074",461,48,0.7879,0.4397,0.1094,0.3963,0.5686,0.3394,0.4789,0.625,0.7857
"3075",463,48,0.7249,0.4046,0.2434,0.6839,0.4323,0.4629,0.452,0.7531,0.6141
"3076",465,48,0.7178,0.4006,0.2718,0.4037,0.4139,0.5206,0.5424,0.3361,0.7249
"3077",467,48,0.3628,0.2025,0.1798,0.7183,0.5336,0.2451,0.6819,0.7729,0.5908
"3078",469,48,0.8934,0.4986,0.1832,0.5526,0.4479,0.4585,0.2369,0.6594,0.6459
"3079",471,48,0.9202,0.5136,0.1337,0.3923,0.4142,0.4303,0.2451,0.6309,0.6203
"3080",473,48,0.9828,0.5485,0.2943,0.5718,0.5334,0.327,0.4688,0.4479,0.6253
"3081",475,48,0.8459,0.4721,0.1375,0.4713,0.5839,0.3758,0.3135,0.7403,0.7523
"3082",477,48,0.7395,0.4127,0.1307,0.37,0.5305,0.1968,0.3681,0.6194,0.5493
"3083",479,48,0.2553,0.1425,0.1193,0.6066,0.4444,0.398,0.6834,0.7346,0.6877
"3084",481,48,0.9773,0.5455,0.1915,0.59,0.6475,0.3338,0.4433,0.7168,0.623
"3085",483,48,0.4162,0.2323,0.1018,0.6332,0.4705,0.2433,0.4425,0.4217,0.4286
"3086",485,48,0.7064,0.3942,0.2409,0.6273,0.4373,0.3857,0.521,0.563,0.4904
"3087",487,48,0.7647,0.4268,0.172,0.5978,0.3675,0.3089,0.4976,0.5899,0.5274
"3088",489,48,0.4685,0.2615,0.1732,0.5224,0.7878,0.4383,0.5621,0.9589,0.8699
"3089",491,48,0.6835,0.3815,0.132,0.4319,0.4275,0.335,0.3194,0.5638,0.5678
"3090",493,48,0.7317,0.4084,0.1432,0.4443,0.4034,0.3803,0.3937,0.4981,0.3881
"3091",495,48,0.7856,0.4384,0.1303,0.5601,0.7124,0.3526,0.4455,0.9032,0.6851
"3092",497,48,0.3855,0.2152,0.1128,0.69,0.4417,0.3294,0.5891,0.7279,0.5151
"3093",499,48,0.4368,0.2438,0.2647,0.6891,0.6398,0.2849,0.6275,0.7288,0.7261
"3094",501,48,0.7386,0.4122,0.0406,0.3304,0.4455,0.2114,0.3009,0.3203,0.3409
"3095",503,48,0.353,0.197,0.1036,0.5302,0.6256,0.3407,0.3363,0.7668,0.6621
"3096",505,48,0.5073,0.2831,0.2017,0.9676,0.3453,0.4862,0.9431,1,0.8246
"3097",507,48,0.4106,0.2291,0.1662,0.8747,NA,0.3925,0.78,NA,NA
"3098",510,24,0.7969,0.4448,0.5524,0.7935,0.4794,0.3939,0.5768,0.6916,0.4715
"3099",510,29,0.8182,0.4566,0.5903,0.8115,0.4909,0.3236,0.7272,0.7996,0.457
"3100",510,32,0.5431,0.3031,0.1056,0.7066,0.2754,0.2587,0.6421,0.7269,0.3061
"3101",510,51,0.9961,0.556,0.1524,0.393,0.3217,0.3969,0.3373,0.4016,0.2672
"3102",515,51,0.6139,0.3426,0.0412,0.2403,0.2321,0.2496,0.0555,0.3495,0.3379
"3103",520,51,0.2823,0.1575,0.1822,0.5411,0.3639,0.3721,0.3238,0.5913,0.506
"3104",530,51,0.2241,0.1251,0.0816,0.3675,0.352,0.4571,0.2679,0.2667,0.3452
"3105",540,51,0.6944,0.3875,0.2333,0.5467,0.3714,0.2359,0.5324,0.6454,0.3586
"3106",550,51,0.7324,0.4088,0.3046,0.597,0.3293,0.2802,0.5185,0.5512,0.2921
"3107",560,51,0.4702,0.2624,0.075,0.2605,0.4473,0.2397,0.2653,0.5195,0.4171
"3108",570,51,0.2212,0.1234,0.0448,0.3244,0.32,0.1733,0.2381,0.5034,0.3934
"3109",580,51,0.4803,0.2681,0.1946,0.5138,0.4089,0.345,0.3834,0.3606,0.2955
"3110",590,51,0.7251,0.4047,0.2483,0.4862,0.454,0.3576,0.425,0.604,0.5008
"3111",595,51,0.7822,0.4366,0.3082,0.4966,0.5205,0.5234,0.1701,0.6152,0.5177
"3112",600,51,0.6787,0.3788,0.0349,0.2965,0.1526,0.1546,0.2192,0.2776,0.1577
"3113",610,51,0.5874,0.3278,0.0788,0.3204,0.2025,0.3629,0.421,0.2796,0.3362
"3114",620,51,0.726,0.4052,0.512,0.7422,0.5187,0.4857,0.4007,0.9058,0.7667
"3115",630,51,0.6988,0.39,0.2486,0.5221,0.2795,0.2559,0.4467,0.5927,0.2818
"3116",640,51,0.3046,0.17,0.1699,0.5467,0.3765,0.2564,0.3725,0.5969,0.441
"3117",650,51,0.8536,0.4764,0.2221,0.4844,0.2414,0.2581,0.4328,0.509,0.1978
"3118",660,51,0.4148,0.2315,0.0942,0.3943,0.2808,0.2521,0.3115,0.3012,0.3
"3119",670,51,0.7382,0.412,0.2742,0.5348,0.3926,0.3186,0.4418,0.5271,0.2212
"3120",678,51,0.4936,0.2755,0.1471,0.3998,0.4158,0.3355,0.5485,0.4805,0.2668
"3121",680,51,0.6718,0.375,0.3306,0.6042,0.3414,0.2974,0.5555,0.6581,0.3577
"3122",683,51,0.7013,0.3914,0.0785,0.306,0.2543,0.4351,0.1568,0.3831,0.4423
"3123",685,51,0.5693,0.3177,0.0443,0.3177,0.2939,0.1253,0.2817,0.2405,0.3027
"3124",690,51,0.7037,0.3928,0.4412,0.6056,0.3696,0.5198,0.4151,0.7295,0.6441
"3125",700,51,0.8731,0.4873,0.2896,0.5577,0.3,0.3629,0.4969,0.532,0.2399
"3126",710,51,0.9151,0.5107,0.3268,0.6146,0.3097,0.3123,0.5618,0.5943,0.3567
"3127",720,51,0.3458,0.193,0.1305,0.489,0.3486,0.2481,0.6583,0.7587,0.1005
"3128",730,51,0.6946,0.3877,0.1957,0.4904,0.2565,0.3082,0.3958,0.4879,0.2303
"3129",735,51,0.1856,0.1036,0.0457,0.4801,0.2521,0.1121,0.4215,0.3336,0.2113
"3130",740,51,0.8117,0.453,0.4691,0.7064,0.3092,0.3478,0.5795,0.7066,0.3754
"3131",750,51,0.382,0.2132,0.0819,0.3871,0.2255,0.297,0.5353,0.4907,0.2279
"3132",760,51,0.7937,0.443,0.4132,0.653,0.4093,0.3551,0.5035,0.6492,0.4261
"3133",770,51,0.6506,0.3631,0.4592,0.7353,0.3479,0.3438,0.6098,0.7271,0.4807
"3134",775,51,0.2634,0.147,0.1792,0.5563,0.3368,0.316,0.4506,0.5509,0.4437
"3135",780,51,0.7337,0.4095,0.1224,0.3008,0.387,0.2014,0.2144,0.2895,0.1856
